年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
2003,桃園市,Lexus RX,3.3L,13.8萬,22.8萬km,1769,https://auto.8891.com.tw/usedauto-infos-2890476.html?display__sale_code=&flow_id=77e5ff80-4c53-4cff-ac5f-42804a21c9e7,https://p2.8891.com.tw/2023/03/17/1679031598543894_440_330.jpg
2003,桃園市,Lexus IS,2.0L,18.8萬,27.0萬km,296,https://auto.8891.com.tw/usedauto-infos-3400215.html?display__sale_code=&flow_id=28539722-0d3d-4fcd-9285-ed0764a4b2ed,https://p2.8891.com.tw/2022/09/06/1662440705476734_440_330.jpg
2003,桃園市,Lexus ES,3.3L,10.8萬,22.0萬km,46,https://auto.8891.com.tw/usedauto-infos-3456257.html?display__sale_code=9005011&flow_id=ed4de9b3-7b6f-40f3-95f2-55f6535e566e,https://p1.8891.com.tw/2023/03/31/1680235789243451_440_330.jpg
2003,新北市,Lexus RX,3.3L,14.6萬,23.3萬km,51,https://auto.8891.com.tw/usedauto-infos-3449207.html?display__sale_code=&flow_id=161673a1-dfde-4771-b3ad-8482e034c92e,https://p2.8891.com.tw/2023/03/23/4/1679572530795172_440_330.jpg
2003,桃園市,Lexus IS,2.0L,13.5萬,16.0萬km,266,https://auto.8891.com.tw/usedauto-infos-3430255.html?display__sale_code=&flow_id=18bd4650-c135-4081-8b5c-ce561d542e09,https://p1.8891.com.tw/2023/02/04/1675490545892535_440_330.jpg
2003,新北市,Lexus IS,2.0L,19萬,16.0萬km,826,https://auto.8891.com.tw/usedauto-infos-3440879.html?display__sale_code=3010013&flow_id=c0751653-cb4f-40d1-aa31-27b3ee6d0243,https://p1.8891.com.tw/2023/03/15/1678876015124869_440_330.jpg
2003,桃園市,Lexus RX,3.3L,10.8萬,16.0萬km,770,https://auto.8891.com.tw/usedauto-infos-3408746.html?display__sale_code=&flow_id=d330971e-9945-491a-ada5-50a22b1ce556,https://p1.8891.com.tw/2023/02/13/1676285488182545_440_330.jpg
2003,新北市,Lexus RX,3.3L,19.8萬,18.0萬km,52,https://auto.8891.com.tw/usedauto-infos-3448279.html?display__sale_code=&flow_id=8fdfced8-74cd-4fa7-a99b-d49ecdec95d3,https://p1.8891.com.tw/2022/12/01/1669888717649563_440_330.jpg
2003,台中市,Lexus IS,2.0L,15.8萬,13.0萬km,530,https://auto.8891.com.tw/usedauto-infos-3410355.html?display__sale_code=9005012&flow_id=cdd4aa7e-f76b-4776-8bb5-d65de1fb18d1,https://p2.8891.com.tw/2017/12/26/8/1514262761905162_440_330.jpg
2003,桃園市,Lexus IS,2.0L,5.5萬,16.0萬km,1263,https://auto.8891.com.tw/usedauto-infos-3419003.html?display__sale_code=&flow_id=08c17344-6df1-4167-8983-fb647daaf48a,https://p1.8891.com.tw/2023/02/23/1677145201028215_440_330.jpg
2003,台南市,Lexus RX,3.3L,15.8萬,20.0萬km,6530,https://auto.8891.com.tw/usedauto-infos-2962944.html?display__sale_code=9005011&flow_id=21dc6688-0755-4897-91c0-457476717367,https://p2.8891.com.tw/2019/05/21/9/1558419161080376_440_330.jpg
2003,桃園市,Lexus LM,2.5L,13.5萬,16.0萬km,108,https://auto.8891.com.tw/usedauto-infos-3442062.html?display__sale_code=&flow_id=8a31cb89-63a8-4074-a921-10ee4e762c08,https://p1.8891.com.tw/2023/02/04/1675490425141683_440_330.jpg
2003,台北市,Lexus RX,3.3L,17.8萬,12.3萬km,135,https://auto.8891.com.tw/usedauto-infos-3451505.html?display__sale_code=9005013&flow_id=8086c666-9246-44d8-94a8-e42f36b2df30,https://p1.8891.com.tw/2023/03/26/1679803545414505_440_330.jpg
2003,桃園市,Lexus ES,3.0L,9.8萬,21.0萬km,231,https://auto.8891.com.tw/usedauto-infos-3428629.html?display__sale_code=&flow_id=cff0eef1-604a-4f04-95b9-f96aaa33497a,https://p2.8891.com.tw/2022/12/07/1670422198110092_440_330.jpg
2003,桃園市,Lexus ES,3.0L,11.8萬,15.0萬km,235,https://auto.8891.com.tw/usedauto-infos-3436196.html?display__sale_code=&flow_id=04cf5270-50f8-4362-882e-31d89fdaef09,https://p2.8891.com.tw/2022/12/10/1670653538323648_440_330.jpg
2003,桃園市,Lexus IS,2.0L,11.8萬,16.0萬km,1207,https://auto.8891.com.tw/usedauto-infos-3399111.html?display__sale_code=&flow_id=46db2019-ae12-4ce0-933a-217ec2d99f73,https://p2.8891.com.tw/2023/02/05/1675578558158308_440_330.jpg
2003,新北市,Lexus IS,2.0L,18.8萬,16.0萬km,149,https://auto.8891.com.tw/usedauto-infos-3442503.html?display__sale_code=&flow_id=54cf505a-2de6-4f69-98c6-935f7e1f1f57,https://p1.8891.com.tw/2023/03/17/1/1679023947664855_440_330.jpg
2004,台中市,Lexus ES,3.3L,19.8萬,9.4萬km,379,https://auto.8891.com.tw/usedauto-infos-3280459.html?display__sale_code=&flow_id=4fc3cb25-5ef8-4d0c-a013-57c3f6a8ba76,https://p1.8891.com.tw/2017/01/20/8/1484913291171317_440_330.jpg
2004,台中市,Lexus IS,2.0L,16.8萬,18.0萬km,441,https://auto.8891.com.tw/usedauto-infos-3444291.html?display__sale_code=9005013&flow_id=3a59ad1f-f6e7-4c16-a22e-32362eebad1d,https://p1.8891.com.tw/2023/02/16/1676535284584201_440_330.jpg
2004,台北市,Lexus RX,3.3L,16.8萬,12.4萬km,581,https://auto.8891.com.tw/usedauto-infos-3403314.html?display__sale_code=&flow_id=0f7d6264-b754-4c36-8ed7-d50d3a664ba1,https://p1.8891.com.tw/2023/02/08/1675869343152875_440_330.jpg
2004,桃園市,Lexus SC,4.3L,25萬,16.0萬km,737,https://auto.8891.com.tw/usedauto-infos-3399948.html?display__sale_code=&flow_id=94a84a0f-8a35-4a8a-8177-6a9585bb426c,https://p2.8891.com.tw/2022/11/25/1669363289896414_440_330.jpg
2004,台北市,Lexus SC,4.3L,29.8萬,16.4萬km,582,https://auto.8891.com.tw/usedauto-infos-3398023.html?display__sale_code=&flow_id=a8cd27bf-4a26-4d5c-9d7e-7f65bc735e7a,https://p2.8891.com.tw/2023/02/04/1675481253143394_440_330.jpg
2004,桃園市,Lexus IS,2.0L,22.8萬,11.0萬km,173,https://auto.8891.com.tw/usedauto-infos-3438513.html?display__sale_code=&flow_id=f3a37857-06af-4617-a53c-e100ba7eef99,https://p1.8891.com.tw/2019/07/07/2/1562478404639907_440_330.jpg
2004,高雄市,Lexus ES,3.3L,19.8萬,18.5萬km,40,https://auto.8891.com.tw/usedauto-infos-3453890.html?display__sale_code=&flow_id=6ab6ab4e-2490-4ff2-ad04-c28a083b2f47,https://p2.8891.com.tw/2023/03/28/1679997112595238_440_330.jpg
2004,台中市,Lexus IS,2.0L,10.8萬,18.0萬km,212,https://auto.8891.com.tw/usedauto-infos-3445109.html?display__sale_code=9005013&flow_id=3a69427b-a250-4526-a30b-4710ce7e9a8d,https://p2.8891.com.tw/2023/02/16/1676532973456356_440_330.jpg
2005,新北市,Lexus RX,3.3L,14.8萬,19.0萬km,325,https://auto.8891.com.tw/usedauto-infos-3399471.html?display__sale_code=&flow_id=6e63d124-c00a-436e-be6e-47b912550d29,https://p2.8891.com.tw/2023/02/06/1/1675644524739728_440_330.jpg
2005,高雄市,Lexus ES,3.3L,14.5萬,16.0萬km,201,https://auto.8891.com.tw/usedauto-infos-3440962.html?display__sale_code=&flow_id=479ad468-cdd3-44f5-a8e8-d161518cb59f,https://p2.8891.com.tw/2021/11/16/1636998031520290_440_330.jpg
2005,高雄市,Lexus ES,3.3L,23.5萬,6.0萬km,1519,https://auto.8891.com.tw/usedauto-infos-3402206.html?display__sale_code=&flow_id=686fd1a6-8da8-4277-b05d-a1112b871667,https://p2.8891.com.tw/2023/02/14/1676305366952200_440_330.jpg
2005,新北市,Lexus IS,2.5L,18萬,17.0萬km,252,https://auto.8891.com.tw/usedauto-infos-3442913.html?display__sale_code=&flow_id=df1654bf-7c1b-4e58-9ffd-c185a593b8df,https://p1.8891.com.tw/2023/03/17/1679037380352837_440_330.jpg
2005,新北市,Lexus GS,3.0L,27.8萬,18.9萬km,2952,https://auto.8891.com.tw/usedauto-infos-3355299.html?display__sale_code=&flow_id=d8e4b3ce-ce99-47a4-9f98-9bf26995e68e,https://p2.8891.com.tw/2022/12/19/1671432179345664_440_330.jpg
2005,桃園市,Lexus IS,2.5L,26.8萬,15.0萬km,94,https://auto.8891.com.tw/usedauto-infos-3438467.html?display__sale_code=&flow_id=f213026a-a83e-4ad7-8120-37aa1102c7d3,https://p1.8891.com.tw/2022/10/31/1667204451427647_440_330.jpg
2005,高雄市,Lexus RX,3.3L,8萬,26.0萬km,775,https://auto.8891.com.tw/usedauto-infos-3410850.html?display__sale_code=&flow_id=5364d6e3-6cdb-49bf-b247-4d5a51a7320d,https://p2.8891.com.tw/2023/02/15/9/1676453274114496_440_330.jpg
2005,高雄市,Lexus ES,3.3L,8.8萬,20.0萬km,309,https://auto.8891.com.tw/usedauto-infos-3407611.html?display__sale_code=&flow_id=38611aad-cba4-4a0f-869d-fbd06b3a9d36,https://p2.8891.com.tw/2022/07/04/1656948834702250_440_330.jpg
2005,高雄市,Lexus RX,3.3L,16.8萬,21.3萬km,67,https://auto.8891.com.tw/usedauto-infos-3456690.html?display__sale_code=&flow_id=1b63cefb-e495-48d2-988f-86a2ee429e34,https://p2.8891.com.tw/2023/03/31/1680250493091434_440_330.jpg
2005,台北市,Lexus SC,4.3L,29.8萬,14.0萬km,725,https://auto.8891.com.tw/usedauto-infos-3411972.html?display__sale_code=&flow_id=6ed2ff97-1a69-405b-b20c-abd66ee8aae9,https://p2.8891.com.tw/2023/03/06/1678093672544144_440_330.jpg
2005,嘉義市,Lexus RX,3.3L,13.9萬,26.0萬km,133,https://auto.8891.com.tw/usedauto-infos-3410609.html?display__sale_code=&flow_id=9cc3a092-de09-4c1e-9fe9-428124411d81,https://p1.8891.com.tw/2022/12/11/2/1670742074206697_440_330.jpg
2005,高雄市,Lexus RX,3.3L,19.8萬,23.1萬km,12,https://auto.8891.com.tw/usedauto-infos-3454611.html?display__sale_code=&flow_id=679b1aa0-3545-4c7c-8062-8bd1b0101f40,https://p1.8891.com.tw/2023/03/29/1680073453001971_440_330.jpg
2005,台南市,Lexus RX,3.3L,21.8萬,13.7萬km,77,https://auto.8891.com.tw/usedauto-infos-3449001.html?display__sale_code=&flow_id=0381205a-9fc9-4506-bb04-3e0be43faef1,https://p2.8891.com.tw/2023/03/31/1680250906863182_440_330.jpg
2005,台中市,Lexus RX,3.3L,21萬,14.6萬km,154,https://auto.8891.com.tw/usedauto-infos-3400803.html?display__sale_code=&flow_id=43275291-f9db-44eb-b832-92a8cb456ec9,https://p1.8891.com.tw/2017/04/20/8/1492689012511853_440_330.jpg
2005,台中市,Lexus RX,3.3L,18.8萬,20.0萬km,79,https://auto.8891.com.tw/usedauto-infos-3426129.html?display__sale_code=&flow_id=0e3ada67-a377-468c-abfc-afda8fd10470,https://p2.8891.com.tw/2018/10/02/8/1538451940236718_440_330.jpg
2005,新北市,Lexus SC,4.3L,38萬,12.0萬km,444,https://auto.8891.com.tw/usedauto-infos-3441939.html?display__sale_code=3010013&flow_id=dc026c3b-3e23-4b48-8e7a-4b9ba094062d,https://p2.8891.com.tw/2023/03/16/4/1678955295443534_440_330.jpg
2005,台北市,Lexus GS,3.0L,22.5萬,22.9萬km,286,https://auto.8891.com.tw/usedauto-infos-3450514.html?display__sale_code=&flow_id=82f2be31-2e05-46bb-aa67-a000c91b0dad,https://p2.8891.com.tw/2023/03/25/1679673615516972_440_330.jpg
2005,台南市,Lexus GS,3.0L,26.8萬,20.7萬km,332,https://auto.8891.com.tw/usedauto-infos-3443971.html?display__sale_code=3010013&flow_id=2c43e695-2865-466d-9bc2-db3a9fc68edd,https://p1.8891.com.tw/2023/03/18/1679124486752925_440_330.jpg
2005,桃園市,Lexus GS,3.0L,25.8萬,16.0萬km,81,https://auto.8891.com.tw/usedauto-infos-3455545.html?display__sale_code=&flow_id=461fdb95-a194-48a6-9d0a-78d0b4e3671c,https://p2.8891.com.tw/2023/03/30/1680162005502598_440_330.jpg
2005,新竹市,Lexus RX,3.3L,11.9萬,22.0萬km,129,https://auto.8891.com.tw/usedauto-infos-3444378.html?display__sale_code=&flow_id=bc91d22c-64df-452a-b697-c24028f35fcb,https://p2.8891.com.tw/2023/01/03/7/1672756844777888_440_330.jpg
2005,台北市,Lexus GS,3.0L,24.8萬,22.6萬km,208,https://auto.8891.com.tw/usedauto-infos-3453651.html?display__sale_code=&flow_id=cb2b9b0b-7f03-4ecc-8fec-e0875f00c8d8,https://p1.8891.com.tw/2023/03/28/1679990272691851_440_330.jpg
2005,台北市,Lexus GS,3.0L,24萬,14.4萬km,291,https://auto.8891.com.tw/usedauto-infos-3455471.html?display__sale_code=&flow_id=08919a16-2eec-4c3d-95cf-52b91e449020,https://p1.8891.com.tw/2023/03/30/1680157444033863_440_330.jpg
2005,桃園市,Lexus SC,4.3L,28.8萬,16.0萬km,845,https://auto.8891.com.tw/usedauto-infos-3346442.html?display__sale_code=&flow_id=166d6f71-df16-4b19-b8f9-111a2560ba77,https://p2.8891.com.tw/2022/12/10/1670670836688562_440_330.jpg
2005,彰化縣,Lexus IS,2.5L,20萬,25.0萬km,222,https://auto.8891.com.tw/usedauto-infos-3423045.html?display__sale_code=&flow_id=16a6694e-0d8e-47c8-87e1-c6c794e945ae,https://p2.8891.com.tw/2023/02/28/1677572196073624_440_330.jpg
2005,新北市,Lexus RX,3.3L,9萬,19.0萬km,179,https://auto.8891.com.tw/usedauto-infos-3437515.html?display__sale_code=&flow_id=dc771d1a-872a-493b-80ae-70b81c07f02f,https://p2.8891.com.tw/2022/01/03/1641189388356554_440_330.jpg
2005,桃園市,Lexus GS,3.0L,25.8萬,16.0萬km,101,https://auto.8891.com.tw/usedauto-infos-3454068.html?display__sale_code=&flow_id=4cf66d30-424a-4ea7-887b-b3f21faf3884,https://p1.8891.com.tw/2023/03/28/1680009571717993_440_330.jpg
2005,台南市,Lexus RX,3.3L,18.8萬,12.0萬km,263,https://auto.8891.com.tw/usedauto-infos-3434501.html?display__sale_code=&flow_id=920800a3-0877-43a4-8b95-7a4f73ddd3b6,https://p1.8891.com.tw/2022/11/07/1667802449083195_440_330.jpg
2005,桃園市,Lexus IS,2.0L,19.8萬,19.0萬km,87,https://auto.8891.com.tw/usedauto-infos-3453579.html?display__sale_code=&flow_id=2ed0210b-5495-4d5c-9dea-e10cce38b2d0,https://p2.8891.com.tw/2023/03/28/1679988272770858_440_330.jpg
2005,雲林縣,Lexus RX,3.3L,18.8萬,15.4萬km,136,https://auto.8891.com.tw/usedauto-infos-3426689.html?display__sale_code=&flow_id=016b0843-8bc9-49cf-965c-0973688af17d,https://p2.8891.com.tw/2023/03/03/1677828776046122_440_330.jpg
2005,台南市,Lexus IS,2.5L,11萬,8.0萬km,155,https://auto.8891.com.tw/usedauto-infos-3452024.html?display__sale_code=&flow_id=50faed27-2936-4283-868d-e0ef9f7a4726,https://p1.8891.com.tw/2023/03/27/1679884548368681_440_330.jpg
2005,桃園市,Lexus SC,4.3L,28.8萬,16.0萬km,204,https://auto.8891.com.tw/usedauto-infos-3427248.html?display__sale_code=&flow_id=5f1e31a8-8f00-4e45-b129-7c3aa77e69db,https://p1.8891.com.tw/2022/12/22/1671704394811057_440_330.jpg
2005,高雄市,Lexus IS,2.5L,26.8萬,18.0萬km,328,https://auto.8891.com.tw/usedauto-infos-3439782.html?display__sale_code=&flow_id=4372f5f5-2bf0-4b13-a465-5a9c3df9e7b9,https://p2.8891.com.tw/2023/01/08/1673148802784634_440_330.jpg
2005,桃園市,Lexus GS,3.0L,26萬,16.0萬km,80,https://auto.8891.com.tw/usedauto-infos-3453469.html?display__sale_code=&flow_id=bc32ac8c-0f49-4971-90cf-eca57f135bef,https://p1.8891.com.tw/2023/03/30/1680158365714795_440_330.jpg
2005,新北市,Lexus RX,3.3L,14.5萬,19.0萬km,520,https://auto.8891.com.tw/usedauto-infos-3431153.html?display__sale_code=3012002&flow_id=8fc3e531-1702-45ec-abbd-b0f555dc0e19,https://p1.8891.com.tw/2023/02/04/1675512177805311_440_330.jpg
2005,台北市,Lexus RX,3.3L,16.8萬,17.0萬km,100,https://auto.8891.com.tw/usedauto-infos-3429504.html?display__sale_code=&flow_id=ecb2247d-c4eb-48ca-b72e-42adeba9338b,https://p2.8891.com.tw/2022/03/31/0/1648698175953114_440_330.jpg
2005,台北市,Lexus IS,3.0L,12.5萬,30.3萬km,725,https://auto.8891.com.tw/usedauto-infos-3445848.html?display__sale_code=3002003&flow_id=ddf1e11d-e5a4-4f34-90bb-35c30278b022,https://p1.8891.com.tw/2023/03/20/1679302596733819_440_330.jpg
2006,高雄市,Lexus IS,2.5L,25.8萬,25.4萬km,154,https://auto.8891.com.tw/usedauto-infos-3442722.html?display__sale_code=&flow_id=b2ed4754-0fd5-4aa8-89ca-0d94f15a013b,https://p1.8891.com.tw/2022/12/08/8/1670470717284003_440_330.jpg
2006,新北市,Lexus ES,3.5L,15.8萬,19.0萬km,88,https://auto.8891.com.tw/usedauto-infos-3445893.html?display__sale_code=&flow_id=b127c7ea-a9e3-42fc-a430-a16d1e9f7521,https://p1.8891.com.tw/2021/12/09/0/1639048209529631_440_330.jpg
2006,台北市,Lexus RX,3.5L,19.8萬,15.0萬km,99,https://auto.8891.com.tw/usedauto-infos-3437930.html?display__sale_code=&flow_id=0189bb94-9ee4-4887-ba77-19a6208ad095,https://p2.8891.com.tw/2023/02/11/1676098955615438_440_330.jpg
2006,台北市,Lexus RX,3.5L,19.8萬,15.0萬km,106,https://auto.8891.com.tw/usedauto-infos-3450466.html?display__sale_code=&flow_id=085adaf3-2191-469c-95a3-2c0097420c66,https://p1.8891.com.tw/2023/02/10/1676026396754915_440_330.jpg
2006,新北市,Lexus IS,2.5L,32.8萬,17.0萬km,65,https://auto.8891.com.tw/usedauto-infos-3448277.html?display__sale_code=&flow_id=dc5e2fa4-f159-44cb-84eb-1b94c823edef,https://p1.8891.com.tw/2022/08/05/1659706300404079_440_330.jpg
2006,高雄市,Lexus IS,2.5L,13.9萬,23.0萬km,209,https://auto.8891.com.tw/usedauto-infos-3442598.html?display__sale_code=&flow_id=5b2887f2-81e6-4f41-a1c0-6b85b1d5465b,https://p2.8891.com.tw/2022/08/05/1659674219556908_440_330.jpg
2006,台南市,Lexus IS,2.5L,25.8萬,15.8萬km,313,https://auto.8891.com.tw/usedauto-infos-3427673.html?display__sale_code=&flow_id=41128c35-9af0-4d83-a572-67f770f73a6c,https://p2.8891.com.tw/2022/12/30/0/1672386096121046_440_330.jpg
2006,台中市,Lexus RX,3.5L,22.5萬,18.5萬km,296,https://auto.8891.com.tw/usedauto-infos-3421900.html?display__sale_code=&flow_id=0e4247d3-3951-4031-804e-0e1acd245735,https://p1.8891.com.tw/2022/09/29/1664442066999535_440_330.jpg
2006,桃園市,Lexus IS,2.5L,25.8萬,13.0萬km,98,https://auto.8891.com.tw/usedauto-infos-3438511.html?display__sale_code=&flow_id=8b61de52-7b86-4da0-ae61-5f5a314e7e88,https://p2.8891.com.tw/2019/01/26/2/1548497611799976_440_330.jpg
2006,高雄市,Lexus IS,2.5L,15.8萬,19.8萬km,296,https://auto.8891.com.tw/usedauto-infos-3427422.html?display__sale_code=&flow_id=3e0e44a8-f951-496e-9fb3-3d157decd09f,https://p1.8891.com.tw/2022/08/27/1661567773438791_440_330.jpg
2006,台北市,Lexus LX,4.7L,63.8萬,21.0萬km,1103,https://auto.8891.com.tw/usedauto-infos-3415681.html?display__sale_code=&flow_id=2b2e89ce-ee41-4588-828c-b6abb65c8497,https://p1.8891.com.tw/2022/12/05/6/1670218353320753_440_330.jpg
2006,台南市,Lexus IS,2.5L,14萬,13.7萬km,186,https://auto.8891.com.tw/usedauto-infos-3446989.html?display__sale_code=&flow_id=c9177ea9-0450-4a7e-bf46-17450d10c04d,https://p1.8891.com.tw/2023/03/21/1679386842366323_440_330.jpg
2006,台南市,Lexus IS,2.5L,19.8萬,41.1萬km,169,https://auto.8891.com.tw/usedauto-infos-3434636.html?display__sale_code=&flow_id=aba3724f-142a-45b0-9051-fc410e0e575d,https://p1.8891.com.tw/2023/03/12/1678612220200493_440_330.jpg
2006,新北市,Lexus IS,2.5L,28.8萬,24.0萬km,733,https://auto.8891.com.tw/usedauto-infos-3269467.html?display__sale_code=&flow_id=6a876383-6fc9-4765-8501-d20279d32f2a,https://p1.8891.com.tw/2022/10/02/1664715444685635_440_330.jpg
2006,台中市,Lexus RX,3.3L,29萬,15.2萬km,523,https://auto.8891.com.tw/usedauto-infos-3323472.html?display__sale_code=&flow_id=42321bcb-c203-4f78-9fe5-ad84fccf4ce7,https://p1.8891.com.tw/2022/01/06/1641457221782071_440_330.jpg
2006,桃園市,Lexus IS,2.5L,16萬,13.0萬km,1,https://auto.8891.com.tw/usedauto-infos-3458685.html?display__sale_code=&flow_id=12daaba8-a6fa-44e0-9334-90324fdea00b,https://p2.8891.com.tw/2023/04/02/5/1680426300224666_440_330.jpg
2006,新北市,Lexus RX,3.5L,18.8萬,19.0萬km,323,https://auto.8891.com.tw/usedauto-infos-3347826.html?display__sale_code=&flow_id=b422db8d-fa8d-4128-9ef6-c9c8f3542c45,https://p1.8891.com.tw/2022/04/23/1650682184195531_440_330.jpg
2006,台南市,Lexus GS,3.0L,24.8萬,12.6萬km,509,https://auto.8891.com.tw/usedauto-infos-3447278.html?display__sale_code=&flow_id=ddf4a6a9-0270-40d6-83e8-fbd3847dffe2,https://p1.8891.com.tw/2023/03/21/1679396679202127_440_330.jpg
2006,桃園市,Lexus RX,3.5L,8.5萬,11.0萬km,494,https://auto.8891.com.tw/usedauto-infos-3440465.html?display__sale_code=&flow_id=bc786f5d-4093-47a3-a5ba-ca9efc03e765,https://p1.8891.com.tw/2023/03/15/1678867886736927_440_330.jpg
